Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,position,height,weight,country,draft_year,draft_number,conference,division,team,Group
Colin Castleton,2.31,0.0,0.17,0.0,0.0,0.17,0.0,0.67,0.67,0.17,0.0,0.83,0.83,0.0,0.0,0.17,0.0,0.33,0.67,0.78,C,2.08,112.5,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies,Prospects and Bench Players
Collin Gillespie,3.43,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,G,1.85,87.75,USA,undrafted,undrafted,West,Pacific,Phoenix Suns,Prospects and Bench Players
Collin Sexton,28.31,5.74,12.11,0.46,1.84,4.21,0.35,3.68,4.16,0.82,0.68,1.84,2.53,3.11,0.68,0.11,2.32,2.47,17.0,11.29,G,1.9,85.5,USA,2018,8,West,Northwest,Utah Jazz,Superstars
Corey Kispert,28.66,4.17,10.0,0.41,1.94,6.17,0.27,1.0,1.22,0.23,0.39,3.11,3.5,1.44,0.67,0.11,1.17,1.72,11.28,6.96,F,1.98,100.8,USA,2021,15,East,Southeast,Washington Wizards,Role Players
Cory Joseph,3.54,0.38,1.15,0.31,0.38,0.92,0.31,0.0,0.0,0.0,0.23,0.46,0.69,0.69,0.15,0.15,0.15,0.23,1.15,1.3,G,1.88,90.0,Canada,2011,29,East,Southeast,Orlando Magic,Prospects and Bench Players
Craig Porter,9.7,1.13,2.0,0.38,0.33,0.73,0.17,0.2,0.33,0.1,0.07,0.87,0.93,1.33,0.33,0.4,0.6,0.47,2.8,2.87,G,1.85,81.0,USA,undrafted,undrafted,East,Central,Cleveland Cavaliers,Prospects and Bench Players
D'Angelo Russell,26.89,4.26,10.53,0.39,1.79,5.84,0.31,1.74,2.0,0.67,0.26,2.32,2.58,4.84,1.0,0.16,1.68,1.89,12.05,9.22,G,1.9,86.85000000000001,USA,2015,2,West,Pacific,Los Angeles Lakers,Role Players
D.J. Carton,8.35,0.25,1.75,0.12,0.0,0.75,0.0,0.25,0.25,0.25,0.0,1.0,1.0,0.75,0.5,0.0,1.0,0.25,0.75,-0.15,G,1.9,90.0,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors,Prospects and Bench Players
Dalano Banton,16.18,3.5,8.11,0.46,1.44,3.61,0.33,1.5,2.28,0.42,0.28,2.06,2.33,2.39,1.11,0.67,1.78,1.22,9.94,7.15,G,2.03,91.35,Canada,2021,46,West,Northwest,Portland Trail Blazers,Role Players
Dalen Terry,12.98,1.43,3.05,0.43,0.38,1.05,0.2,1.0,1.29,0.29,0.71,0.71,1.43,1.0,0.62,0.33,0.86,1.29,4.24,3.46,F,2.01,87.75,USA,2022,18,East,Central,Chicago Bulls,Prospects and Bench Players
Dalton Knecht,23.77,4.42,8.89,0.48,2.47,5.63,0.42,0.84,0.95,0.29,0.53,2.74,3.26,1.21,0.47,0.0,0.37,1.32,12.16,9.27,F,1.98,96.75,USA,2024,17,West,Pacific,Los Angeles Lakers,Role Players
Damian Lillard,36.17,7.94,18.0,0.43,3.31,9.19,0.31,6.75,7.31,0.93,0.62,3.88,4.5,7.81,1.0,0.25,2.75,1.88,25.94,21.03,G,1.88,87.75,USA,2012,6,East,Central,Milwaukee Bucks,Superstars
Damion Lee,9.38,1.0,3.5,0.32,0.25,2.25,0.25,1.5,1.5,0.75,0.0,1.25,1.25,1.25,0.5,0.0,0.75,0.25,3.75,2.6,G,1.98,94.5,USA,undrafted,undrafted,West,Pacific,Phoenix Suns,Prospects and Bench Players
Daniel Gafford,21.19,5.32,7.26,0.75,0.0,0.0,0.0,1.74,2.58,0.59,3.0,3.89,6.89,1.26,0.58,1.26,0.89,2.74,12.37,12.7,F,2.08,119.25,USA,2019,38,West,Southwest,Dallas Mavericks,All-Stars
Daniel Theis,14.87,1.47,3.47,0.36,0.2,1.07,0.16,0.53,0.67,0.22,0.73,2.87,3.6,1.4,0.27,0.73,0.6,1.6,3.67,3.67,F,2.03,110.25,Germany,undrafted,undrafted,West,Southwest,New Orleans Pelicans,Prospects and Bench Players
Dario Šarić,13.61,1.2,4.0,0.22,0.5,1.9,0.11,0.5,0.6,0.25,0.9,2.6,3.5,1.1,0.6,0.0,1.1,1.4,3.4,2.16,F,2.08,101.25,Croatia,2014,12,West,Northwest,Denver Nuggets,Prospects and Bench Players
Darius Garland,30.55,7.58,15.32,0.5,3.0,6.79,0.42,2.53,2.68,0.64,0.58,1.84,2.42,6.84,1.16,0.26,2.47,2.47,20.68,16.56,G,1.85,86.4,USA,2019,5,East,Central,Cleveland Cavaliers,Superstars
David Roddy,15.41,2.08,3.62,0.57,0.77,1.77,0.42,0.85,1.0,0.26,0.31,2.69,3.0,1.46,0.46,0.15,1.0,0.85,5.77,5.28,F,1.93,114.75,USA,2022,23,East,Southeast,Atlanta Hawks,Role Players
Davion Mitchell,27.85,2.7,6.75,0.35,0.9,3.15,0.24,0.8,1.2,0.35,0.5,1.8,2.3,5.45,0.9,0.2,2.2,2.75,7.1,5.74,G,1.83,90.9,USA,2021,9,East,Atlantic,Toronto Raptors,Role Players
De'Aaron Fox,37.79,10.05,20.15,0.49,2.1,6.2,0.37,5.5,6.85,0.83,0.9,4.05,4.95,5.75,1.6,0.1,3.7,2.7,27.7,19.84,G,1.9,83.25,USA,2017,5,West,Pacific,Sacramento Kings,Superstars
De'Andre Hunter,27.31,5.9,12.4,0.47,2.3,5.7,0.38,4.1,4.6,0.91,0.6,3.7,4.3,1.3,0.7,0.2,1.4,2.6,18.2,12.52,F,2.03,99.45,USA,2019,4,East,Southeast,Atlanta Hawks,Superstars
De'Anthony Melton,20.17,3.67,9.0,0.38,2.17,5.83,0.34,0.83,1.33,0.19,1.0,2.33,3.33,2.83,1.17,0.33,1.67,3.0,10.33,7.22,G,1.9,90.0,USA,2018,46,West,Pacific,Golden State Warriors,Role Players
DeAndre Jordan,9.81,1.25,2.25,0.51,0.0,0.0,0.0,0.12,0.5,0.06,1.25,2.0,3.25,0.5,0.25,0.25,0.88,1.38,2.62,2.22,C,2.11,119.25,USA,2008,35,West,Northwest,Denver Nuggets,Prospects and Bench Players
DeMar DeRozan,36.35,8.53,16.8,0.51,0.67,2.27,0.33,4.87,5.93,0.77,0.53,3.6,4.13,4.13,1.47,0.6,1.87,1.53,22.6,17.58,G,1.98,99.0,USA,2009,9,West,Pacific,Sacramento Kings,Superstars
