,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
3793,God Shammgod,G-C,1.83,76.05,USA,1997,45,East,Southeast,Washington Wizards
3794,Howie Shannon,G-C,1.88,78.75,USA,1949,1,East,Atlantic,Boston Celtics
3795,Terrence Shannon Jr.,G-F,1.98,96.75,USA,2024,27,West,Northwest,Minnesota Timberwolves
3796,Charlie Share,G-C,2.11,105.75,USA,1950,1,East,Southeast,Atlanta Hawks
3797,Bill Sharman,G-C,1.85,78.75,USA,1950,undrafted,East,Atlantic,Boston Celtics
3798,Jamarion Sharp,C,2.26,105.75,USA,undrafted,undrafted,West,Southwest,Dallas Mavericks
3799,Shaedon Sharpe,G,1.96,93.6,Canada,2022,7,West,Northwest,Portland Trail Blazers
3800,Day'Ron Sharpe,C,2.06,119.25,USA,2021,29,East,Atlantic,Brooklyn Nets
3801,Walter Sharpe,G-C,2.06,110.25,USA,2008,32,East,Central,Detroit Pistons
3802,John Shasky,G-C,2.11,105.75,USA,1986,61,East,Southeast,Miami Heat
3803,Ron Shavlik,G-C,2.03,90.0,USA,1956,4,East,Atlantic,New York Knicks
3804,Brian Shaw,G-C,1.98,90.0,USA,1988,24,West,Pacific,Los Angeles Lakers
3805,Casey Shaw,G-C,2.11,114.75,USA,1998,37,East,Atlantic,Philadelphia 76ers
3806,Marial Shayok,G,1.96,89.10000000000001,Canada,2019,54,East,Atlantic,Philadelphia 76ers
3807,Jamal Shead,G,1.85,90.0,USA,2024,45,East,Atlantic,Toronto Raptors
3808,Fred Sheffield,G-C,1.88,74.25,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
3809,Craig Shelton,G-C,2.01,94.5,USA,1980,28,East,Southeast,Atlanta Hawks
3810,Lonnie Shelton,G-C,2.03,108.0,USA,1976,25,West,Northwest,Oklahoma City Thunder
3811,Tornike Shengelia,G-C,2.06,108.0,Georgia,2012,54,East,Atlantic,Brooklyn Nets
3812,Ben Sheppard,G,1.98,85.5,USA,2023,26,East,Central,Indiana Pacers
3813,Steve Sheppard,G-C,1.98,96.75,USA,1977,undrafted,East,Central,Chicago Bulls
3814,Jeff Sheppard,G-C,1.9,85.5,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
3815,Reed Sheppard,G,1.88,83.25,USA,2024,3,West,Southwest,Houston Rockets
3816,Edmund Sherod,G-C,1.88,76.5,USA,1981,72,East,Atlantic,New York Knicks
3817,Paul Shirley,G-C,2.08,103.5,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
3818,Gene Short,G-C,1.98,90.0,USA,1975,9,East,Atlantic,New York Knicks
3819,Purvis Short,G-C,2.01,94.5,USA,1978,5,West,Pacific,Golden State Warriors
3820,Dexter Shouse,G-C,1.88,90.0,USA,1985,92,East,Atlantic,Philadelphia 76ers
3821,Dick Shrider,G-C,1.88,85.5,USA,1948,undrafted,East,Atlantic,New York Knicks
3822,Gene Shue,G-C,1.88,76.5,USA,1954,3,East,Central,Detroit Pistons
3823,John Shumate,G-C,2.06,105.75,USA,1974,4,West,Pacific,LA Clippers
3824,Iman Shumpert,G,1.96,96.75,USA,2011,17,East,Atlantic,New York Knicks
3825,Alexey Shved,G-C,1.98,84.15,Russia,undrafted,undrafted,West,Northwest,Minnesota Timberwolves
3826,Pascal Siakam,F,2.03,110.25,Cameroon,2016,27,East,Central,Indiana Pacers
3827,Sam Sibert,G-C,2.01,96.75,USA,1972,19,West,Pacific,Sacramento Kings
3828,Jordan Sibert,G-C,1.93,84.15,USA,2015,undrafted,East,Southeast,Atlanta Hawks
3829,Mark Sibley,G-C,1.88,78.75,USA,1973,64,West,Northwest,Portland Trail Blazers
3830,Jerry Sichting,G-C,1.85,75.60000000000001,USA,1979,82,East,Central,Indiana Pacers
3831,Larry Siegfried,G-C,1.9,85.5,USA,1961,3,East,Atlantic,Boston Celtics
3832,Jack Sikma,G-C,2.11,103.5,USA,1977,8,West,Northwest,Oklahoma City Thunder
3833,Paul Silas,G-C,2.01,99.0,USA,1964,undrafted,East,Southeast,Atlanta Hawks
3834,Xavier Silas,G-C,1.96,92.25,USA,2011,undrafted,East,Atlantic,Philadelphia 76ers
3835,James Silas,G-C,1.85,81.0,USA,1972,undrafted,West,Southwest,San Antonio Spurs
3836,Garret Siler,G-C,2.11,137.25,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
3837,Mike Silliman,G-C,1.98,101.25,USA,1966,69,West,Pacific,LA Clippers
3838,Chris Silva,F,2.03,105.3,Gabon,undrafted,undrafted,West,Southwest,Dallas Mavericks
3839,Wayne Simien,G-C,2.06,112.5,USA,2005,29,East,Southeast,Miami Heat
3840,Lionel Simmons,G-C,2.01,94.5,USA,1990,7,West,Pacific,Sacramento Kings
3841,Jonathon Simmons,F,1.98,87.75,USA,2012,0,West,Southwest,San Antonio Spurs
3842,Johnny Simmons,G-C,1.85,82.8,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
3843,Cedric Simmons,G-C,2.06,105.75,USA,2006,15,West,Southwest,New Orleans Pelicans
3844,Kobi Simmons,G-C,1.96,81.0,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies
3845,Bobby Simmons,G-C,1.98,105.75,USA,2001,41,West,Pacific,LA Clippers
3846,Connie Simmons,G-C,2.03,99.9,USA,undrafted,undrafted,East,Atlantic,New York Knicks
3847,Ben Simmons,G-F,2.08,108.0,Australia,2016,1,East,Atlantic,Brooklyn Nets
3848,Miles Simon,G-C,1.9,90.9,USA,1998,42,East,Southeast,Orlando Magic
3849,Marko Simonovic,C,2.13,99.0,Montenegro,2020,44,East,Central,Chicago Bulls
3850,Anfernee Simons,G,1.9,90.0,USA,2018,24,West,Northwest,Portland Trail Blazers
3851,Dickey Simpkins,G-C,2.06,114.75,USA,1994,21,East,Central,Chicago Bulls
3852,Ralph Simpson,G-C,1.96,90.0,USA,1972,11,East,Central,Detroit Pistons
3853,Diamon Simpson,G-C,2.01,103.5,USA,undrafted,undrafted,West,Southwest,Houston Rockets
3854,Zavier Simpson,G,1.83,85.5,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies
3855,K.J. Simpson,G,1.83,85.05,USA,2024,42,East,Southeast,Charlotte Hornets
3856,Courtney Sims,G-C,2.11,110.25,USA,undrafted,undrafted,East,Central,Indiana Pacers
3857,Henry Sims,G-C,2.08,111.6,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
3858,Scott Sims,G-C,1.85,76.5,USA,1977,3,West,Southwest,San Antonio Spurs
3859,Jericho Sims,F,2.08,112.5,USA,2021,58,East,Atlantic,New York Knicks
3860,Doug Sims,G-C,2.01,87.75,USA,undrafted,undrafted,West,Pacific,Sacramento Kings
3861,Alvin Sims,G-C,1.93,105.75,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
3862,Bob Sims,G-C,1.96,99.0,USA,1960,54,East,Southeast,Atlanta Hawks
3863,Kyle Singler,G-C,2.03,102.6,USA,2011,33,East,Central,Detroit Pistons
3864,Sean Singletary,G-C,1.83,83.25,USA,2008,42,East,Southeast,Charlotte Hornets
3865,Chris Singleton,G-C,2.06,102.6,USA,2011,18,East,Southeast,Washington Wizards
3866,James Singleton,G-C,2.03,103.5,USA,undrafted,undrafted,West,Pacific,LA Clippers
3867,Mckinley Singleton,G-C,1.96,78.75,USA,1984,1,East,Atlantic,New York Knicks
3868,Zeke Sinicola,G-C,1.78,74.25,USA,1951,4,East,Central,Detroit Pistons
