,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
0,Alaa Abdelnaby,G-C,2.08,108.0,USA,1990,25,West,Northwest,Portland Trail Blazers
1,Zaid Abdul-Aziz,G-C,2.06,105.75,USA,1968,5,West,Southwest,Houston Rockets
2,Kareem Abdul-Jabbar,G-C,2.18,101.25,USA,1969,1,West,Pacific,Los Angeles Lakers
3,Mahmoud Abdul-Rauf,G-C,1.85,72.9,USA,1990,3,West,Northwest,Denver Nuggets
4,Tariq Abdul-Wahad,G-C,1.98,105.75,France,1997,11,West,Pacific,Sacramento Kings
5,Shareef Abdur-Rahim,F,2.06,110.25,USA,1996,3,West,Southwest,Memphis Grizzlies
6,Tom Abernethy,G-C,2.01,99.0,USA,1976,43,West,Pacific,Golden State Warriors
7,Forest Able,G-C,1.9,81.0,USA,1956,undrafted,East,Atlantic,Philadelphia 76ers
8,Alex Abrines,G,1.98,85.5,Spain,2013,32,West,Northwest,Oklahoma City Thunder
9,Precious Achiuwa,F,2.03,109.35,Nigeria,2020,undrafted,East,Atlantic,New York Knicks
10,Alex Acker,G-C,1.96,83.25,USA,2005,undrafted,West,Pacific,LA Clippers
11,Donald Ackerman,G-C,1.83,82.35000000000001,USA,1953,undrafted,East,Atlantic,New York Knicks
12,Mark Acres,G-C,2.11,99.0,USA,1985,undrafted,East,Southeast,Orlando Magic
13,Charles Acton,G-C,1.98,94.5,USA,undrafted,undrafted,West,Southwest,Houston Rockets
14,Quincy Acy,G-C,2.01,108.0,USA,2012,37,West,Pacific,Sacramento Kings
15,Alvan Adams,G-C,2.06,94.5,USA,1975,4,West,Pacific,Phoenix Suns
16,Jordan Adams,G-C,1.96,94.05,USA,2014,22,West,Southwest,Memphis Grizzlies
17,Hassan Adams,G-C,1.93,99.0,USA,2006,54,East,Atlantic,Brooklyn Nets
18,Steven Adams,C,2.11,119.25,New Zealand,2013,12,West,Southwest,Houston Rockets
19,Jaylen Adams,G,1.83,101.25,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
20,Michael Adams,G-C,1.78,74.25,USA,1985,66,West,Northwest,Denver Nuggets
21,Don Adams,G-C,2.01,94.5,USA,1970,1,East,Central,Detroit Pistons
22,Rafael Addison,G-C,2.03,108.45,USA,1986,39,East,Atlantic,Brooklyn Nets
23,Bam Adebayo,F-C,2.06,114.75,USA,2017,14,East,Southeast,Miami Heat
24,Deng Adel,G-C,2.01,90.0,South Sudan,2018,undrafted,East,Central,Cleveland Cavaliers
25,Rick Adelman,G-C,1.88,78.75,USA,1968,79,West,Northwest,Portland Trail Blazers
26,Jeff Adrien,G-C,2.01,110.25,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
27,Arron Afflalo,G,1.96,94.5,USA,2007,27,West,Northwest,Denver Nuggets
28,Ochai Agbaji,G,1.96,96.75,USA,2022,14,East,Atlantic,Toronto Raptors
29,Maurice Ager,G-C,1.96,90.9,USA,2006,28,West,Southwest,Dallas Mavericks
30,Mark Aguirre,G-C,1.98,104.4,USA,1981,1,West,Southwest,Dallas Mavericks
31,Blake Ahearn,G-C,1.88,85.5,USA,undrafted,undrafted,East,Southeast,Miami Heat
32,Danny Ainge,G-C,1.96,78.75,USA,1981,31,East,Atlantic,Boston Celtics
33,Alexis Ajinca,G-C,2.18,111.6,France,2008,undrafted,West,Southwest,New Orleans Pelicans
34,Melvin Ajinca,F,2.03,94.5,France,2024,51,West,Southwest,Dallas Mavericks
35,Henry Akin,G-C,2.08,101.25,USA,1966,11,East,Atlantic,New York Knicks
36,James Akinjo,G,1.85,85.5,USA,undrafted,undrafted,East,Central,Milwaukee Bucks
37,Josh Akognon,G-C,1.8,83.25,USA,undrafted,undrafted,West,Southwest,Dallas Mavericks
38,DeVaughn Akoon-Purcell,G-F,1.96,90.45,Trinidad and Tobago,2016,undrafted,West,Northwest,Denver Nuggets
39,Solomon Alabi,G-C,2.16,113.4,Nigeria,2010,undrafted,East,Atlantic,Toronto Raptors
40,Mark Alarie,G-C,2.03,97.65,USA,1986,18,East,Southeast,Washington Wizards
41,Gary Alcorn,G-C,2.06,101.25,USA,1959,16,East,Central,Detroit Pistons
42,Santi Aldama,F,2.13,96.75,Spain,2021,undrafted,West,Southwest,Memphis Grizzlies
43,Furkan Aldemir,G-C,2.08,108.0,Turkey,2012,53,East,Atlantic,Philadelphia 76ers
44,Cole Aldrich,G-C,2.11,113.85,USA,2010,11,East,Atlantic,New York Knicks
45,LaMarcus Aldridge,F,2.11,112.5,USA,2006,2,East,Atlantic,Brooklyn Nets
46,Chuck Aleksinas,G-C,2.11,117.0,USA,1982,76,West,Pacific,Golden State Warriors
47,Victor Alexander,G-C,2.08,119.25,USA,1991,17,West,Pacific,Golden State Warriors
48,Joe Alexander,G-C,2.03,103.5,USA,2008,8,East,Central,Milwaukee Bucks
49,Gary Alexander,G-C,2.01,108.0,USA,undrafted,undrafted,East,Central,Cleveland Cavaliers
50,Cliff Alexander,G-C,2.03,108.0,USA,undrafted,undrafted,West,Northwest,Portland Trail Blazers
51,Kyle Alexander,F,2.08,97.2,Canada,undrafted,undrafted,East,Southeast,Miami Heat
52,Cory Alexander,G-C,1.85,85.5,USA,1995,29,West,Southwest,San Antonio Spurs
53,Trey Alexander,G,1.93,83.25,USA,undrafted,undrafted,West,Northwest,Denver Nuggets
54,Courtney Alexander,G-C,1.96,92.25,USA,2000,13,East,Southeast,Washington Wizards
55,Ty-Shon Alexander,G,1.9,87.75,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
56,Nickeil Alexander-Walker,G,1.96,92.25,Canada,2019,17,West,Northwest,Minnesota Timberwolves
57,Steve Alford,G-C,1.88,82.35000000000001,USA,1987,26,West,Southwest,Dallas Mavericks
58,Rawle Alkins,G,1.96,101.25,USA,undrafted,undrafted,East,Central,Chicago Bulls
59,Grayson Allen,G,1.93,89.10000000000001,USA,2018,21,West,Pacific,Phoenix Suns
60,Randy Allen,G-C,2.03,99.0,USA,undrafted,undrafted,West,Pacific,Sacramento Kings
61,Kadeem Allen,G-C,1.9,90.0,USA,2017,53,East,Atlantic,New York Knicks
62,Lucius Allen,G-C,1.88,78.75,USA,1969,3,East,Central,Milwaukee Bucks
63,Jerome Allen,G-C,1.93,82.8,USA,1995,49,East,Central,Indiana Pacers
64,Lavoy Allen,G-C,2.06,117.0,USA,2011,undrafted,East,Central,Indiana Pacers
65,Bob Allen,G-C,2.06,92.25,USA,1968,71,West,Pacific,Golden State Warriors
66,Tony Allen,G-C,1.93,95.85,USA,2004,25,West,Southwest,Memphis Grizzlies
67,Timmy Allen,F,1.98,94.5,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies
68,Malik Allen,G-C,2.08,114.75,USA,undrafted,undrafted,East,Southeast,Miami Heat
69,Jarrett Allen,C,2.06,109.35,USA,2017,22,East,Central,Cleveland Cavaliers
70,Ray Allen,G,1.96,92.25,USA,1996,5,East,Central,Milwaukee Bucks
71,Odis Allison,G-C,1.98,87.75,USA,1971,76,West,Pacific,Golden State Warriors
72,Lance Allred,G-C,2.11,112.5,USA,undrafted,undrafted,East,Central,Cleveland Cavaliers
73,Darrell Allums,G-C,2.03,99.0,USA,1980,3,West,Southwest,Dallas Mavericks
74,Morris Almond,G-C,1.98,101.25,USA,2007,25,West,Northwest,Utah Jazz
75,Rafer Alston,G-C,1.88,78.75,USA,1998,39,West,Southwest,Houston Rockets
76,Derrick Alston,G-C,2.11,101.25,USA,1994,33,East,Atlantic,Philadelphia 76ers
77,Peter Aluma,G-C,2.08,117.0,USA,undrafted,undrafted,West,Pacific,Sacramento Kings
78,Jose Alvarado,G,1.83,80.55,USA,undrafted,undrafted,West,Southwest,New Orleans Pelicans
79,John Amaechi,G-C,2.08,121.5,United Kingdom,undrafted,undrafted,East,Southeast,Orlando Magic
80,Ashraf Amaya,G-C,2.01,112.5,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies
81,Al-Farouq Aminu,F,2.03,99.0,USA,2010,8,West,Northwest,Portland Trail Blazers
82,Lou Amundson,G-C,2.06,99.0,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
83,Bob Anderegg,G-C,1.9,90.0,USA,1959,undrafted,East,Atlantic,New York Knicks
84,Chris Andersen,G-C,2.08,110.25,USA,undrafted,undrafted,West,Northwest,Denver Nuggets
85,David Andersen,G-C,2.11,111.15,Australia,2002,36,West,Southwest,Houston Rockets
86,Derek Anderson,G,1.96,87.75,USA,1997,13,West,Northwest,Portland Trail Blazers
87,Daniel Anderson,G-C,1.88,83.25,USA,1974,92,West,Northwest,Portland Trail Blazers
88,James Anderson,G-C,1.98,95.85,USA,2010,undrafted,West,Southwest,San Antonio Spurs
89,Kim Anderson,G-C,2.01,90.0,USA,1978,146,West,Northwest,Portland Trail Blazers
90,Greg Anderson,G-C,2.08,112.5,USA,1987,23,West,Southwest,San Antonio Spurs
91,Dwight Anderson,G-C,1.9,83.25,USA,1982,41,West,Northwest,Denver Nuggets
92,Richard Anderson,G-C,2.08,108.0,USA,1982,32,West,Northwest,Portland Trail Blazers
93,Kyle Anderson,F,2.06,103.5,USA,2014,undrafted,West,Pacific,Golden State Warriors
94,Shandon Anderson,G-C,1.98,96.75,USA,1996,54,East,Atlantic,New York Knicks
95,Cliff Anderson,G-C,1.88,90.0,USA,1967,35,West,Pacific,Los Angeles Lakers
96,Ryan Anderson,F,2.08,108.0,USA,2008,21,West,Southwest,New Orleans Pelicans
97,Michael Anderson,G-C,1.8,82.8,USA,1988,73,West,Southwest,San Antonio Spurs
98,Mitchell Anderson,G-C,2.03,87.75,USA,1982,36,West,Northwest,Utah Jazz
99,Alan Anderson,G-C,1.98,99.0,USA,undrafted,undrafted,East,Atlantic,Brooklyn Nets
100,Kenny Anderson,G-C,1.85,75.60000000000001,USA,1991,2,East,Atlantic,Brooklyn Nets
101,Justin Anderson,G-F,1.96,103.95,USA,2015,21,East,Central,Indiana Pacers
102,Willie Anderson,G-C,2.03,90.0,USA,1988,undrafted,West,Southwest,San Antonio Spurs
103,Nick Anderson,G-C,1.98,102.6,USA,1989,11,East,Southeast,Orlando Magic
104,Jerome Anderson,G-C,1.96,87.75,USA,1975,53,East,Central,Indiana Pacers
105,Ron Anderson,G-C,2.01,96.75,USA,1984,27,East,Atlantic,Philadelphia 76ers
106,Eric Anderson,G-C,2.06,99.0,USA,undrafted,undrafted,East,Atlantic,New York Knicks
107,Antonio Anderson,G-C,1.98,96.75,USA,undrafted,undrafted,West,Northwest,Oklahoma City Thunder
108,Wally Anderzunas,G-C,2.01,99.0,USA,1969,25,West,Pacific,Sacramento Kings
109,Martynas Andriuskevicius,G-C,2.18,108.0,Lithuania,2005,44,East,Central,Cleveland Cavaliers
110,Don Anielak,G-C,2.01,85.5,USA,1954,26,East,Atlantic,New York Knicks
111,Ike Anigbogu,C,2.08,117.9,USA,2017,47,East,Central,Indiana Pacers
112,Michael Ansley,G-C,2.01,101.25,USA,1989,37,East,Southeast,Orlando Magic
113,Chris Anstey,G-C,2.13,112.05,Australia,1997,18,West,Southwest,Dallas Mavericks
114,Giannis Antetokounmpo,F,2.11,109.35,Greece,2013,15,East,Central,Milwaukee Bucks
115,Thanasis Antetokounmpo,G-C,2.01,98.55,Greece,2014,51,East,Central,Milwaukee Bucks
116,Kostas Antetokounmpo,F,2.08,90.0,Greece,2018,undrafted,East,Central,Chicago Bulls
117,Carmelo Anthony,F,2.01,107.1,USA,2003,3,West,Pacific,Los Angeles Lakers
118,Greg Anthony,G-C,1.85,81.0,USA,1991,12,East,Atlantic,New York Knicks
119,Cole Anthony,G,1.88,83.25,USA,2020,15,East,Southeast,Orlando Magic
120,Joel Anthony,G-C,2.06,110.25,Canada,undrafted,undrafted,East,Southeast,Miami Heat
121,Pero Antic,G-C,2.11,117.0,Macedonia,undrafted,undrafted,East,Southeast,Atlanta Hawks
122,OG Anunoby,F,2.01,108.0,United Kingdom,2017,23,East,Atlantic,New York Knicks
123,Keith Appling,G-C,1.85,83.25,USA,undrafted,undrafted,East,Southeast,Orlando Magic
124,Rafael Araujo,G-C,2.11,121.5,Brazil,2004,8,East,Atlantic,Toronto Raptors
125,Stacey Arceneaux,G-C,1.93,94.5,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
126,Nate Archibald,G-C,1.85,67.5,USA,1970,19,West,Pacific,Sacramento Kings
127,Robert Archibald,G-C,2.11,112.5,Scotland,2002,31,East,Atlantic,Toronto Raptors
128,Ryan Arcidiacono,G,1.9,87.75,USA,undrafted,undrafted,East,Atlantic,New York Knicks
129,Jim Ard,G-C,2.06,96.75,USA,1970,6,East,Atlantic,Boston Celtics
130,Gilbert Arenas,G-C,1.93,96.75,USA,2001,undrafted,East,Southeast,Washington Wizards
131,Trevor Ariza,F,2.03,96.75,USA,2004,43,West,Pacific,Los Angeles Lakers
132,Paul Arizin,G-C,1.93,85.5,USA,1950,undrafted,West,Pacific,Golden State Warriors
133,Joe Arlauckas,G-C,2.06,103.5,USA,1987,74,West,Pacific,Sacramento Kings
134,Brandon Armstrong,G-C,1.96,83.25,USA,2001,23,East,Atlantic,Brooklyn Nets
135,B.J. Armstrong,G-C,1.88,83.25,USA,1989,18,East,Central,Chicago Bulls
136,Mark Armstrong,G,1.88,81.0,USA,undrafted,undrafted,East,Atlantic,Brooklyn Nets
137,Bob Armstrong,G-C,2.03,99.0,USA,1955,undrafted,West,Pacific,Golden State Warriors
138,Paul Armstrong,G-C,1.8,76.5,USA,undrafted,undrafted,East,Central,Detroit Pistons
139,Tate Armstrong,G-C,1.9,78.75,USA,1977,13,East,Central,Chicago Bulls
140,Hilton Armstrong,G-C,2.11,105.75,USA,2006,12,West,Southwest,New Orleans Pelicans
141,Darrell Armstrong,G-C,1.85,81.0,USA,undrafted,undrafted,East,Southeast,Orlando Magic
142,Jesse Arnelle,G-C,1.96,99.0,USA,1955,13,East,Central,Detroit Pistons
143,Jay Arnette,G-C,1.88,78.75,USA,1960,9,West,Pacific,Sacramento Kings
144,Bob Arnzen,G-C,1.96,92.25,USA,1969,3,West,Pacific,Sacramento Kings
145,Carlos Arroyo,G-C,1.88,90.0,Puerto Rico,undrafted,undrafted,East,Southeast,Orlando Magic
146,Darrell Arthur,G-C,2.06,105.75,USA,2008,27,West,Northwest,Denver Nuggets
147,John Arthurs,G-C,1.93,83.25,USA,1969,73,East,Central,Milwaukee Bucks
148,Jamel Artis,G-C,2.01,95.85,USA,undrafted,undrafted,East,Southeast,Orlando Magic
149,Omer Asik,G-C,2.13,114.75,Turkey,2008,36,West,Southwest,New Orleans Pelicans
150,Vincent Askew,G-C,1.98,105.75,USA,1987,39,West,Northwest,Oklahoma City Thunder
151,Keith Askins,G-C,2.03,96.75,USA,undrafted,undrafted,East,Southeast,Miami Heat
152,Richard Atha,G-C,1.88,85.5,USA,1953,undrafted,East,Atlantic,New York Knicks
153,Chucky Atkins,G-C,1.8,83.25,USA,undrafted,undrafted,East,Central,Detroit Pistons
154,Alvin Attles,G-C,1.85,78.75,USA,1960,39,West,Pacific,Golden State Warriors
155,Stacey Augmon,G-C,2.03,95.85,USA,1991,9,East,Southeast,Atlanta Hawks
156,D.J. Augustin,G,1.8,82.35000000000001,USA,2008,9,West,Pacific,Los Angeles Lakers
157,James Augustine,G-C,2.08,105.75,USA,2006,41,East,Southeast,Orlando Magic
158,John Austin,G-C,1.83,76.5,USA,1966,38,East,Southeast,Washington Wizards
159,Ike Austin,G-C,2.08,121.5,USA,1991,48,East,Southeast,Miami Heat
160,Ken Austin,G-C,2.06,92.25,USA,1983,1,East,Central,Detroit Pistons
161,Deni Avdija,F,2.06,108.0,Israel,2020,9,West,Northwest,Portland Trail Blazers
162,Anthony Avent,G-C,2.06,108.0,USA,1991,15,East,Central,Milwaukee Bucks
163,William Averitt,G-C,1.88,76.5,USA,1973,55,West,Pacific,LA Clippers
164,William Avery,G-C,1.88,81.0,USA,1999,14,West,Northwest,Minnesota Timberwolves
165,Dennis Awtrey,G-C,2.08,105.75,USA,1970,46,West,Pacific,Phoenix Suns
166,Joel Ayayi,G,1.93,81.0,France,undrafted,undrafted,East,Southeast,Washington Wizards
167,Gustavo Ayon,G-C,2.08,112.5,Mexico,undrafted,undrafted,West,Southwest,New Orleans Pelicans
168,Jeff Ayres,G-C,2.06,112.5,USA,2009,31,West,Southwest,San Antonio Spurs
169,Deandre Ayton,C,2.13,113.4,Bahamas,2018,1,West,Northwest,Portland Trail Blazers
170,Udoka Azubuike,F-C,2.11,121.5,Nigeria,2020,27,West,Pacific,Phoenix Suns
171,Kelenna Azubuike,G-C,1.96,96.75,United Kingdom,undrafted,undrafted,West,Pacific,Golden State Warriors
172,Chris Babb,G-C,1.96,101.25,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
173,Luke Babbitt,G-C,2.06,101.25,USA,2010,16,West,Southwest,New Orleans Pelicans
174,Milos Babic,G-C,2.13,108.0,USA,1990,undrafted,East,Central,Cleveland Cavaliers
175,Johnny Bach,G-C,1.88,81.0,USA,1948,undrafted,East,Atlantic,Boston Celtics
176,Dwayne Bacon,G-F,1.98,99.45,USA,2017,undrafted,West,Pacific,Los Angeles Lakers
177,Armando Bacot,C,2.08,108.0,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies
178,Ibou Badji,C,2.13,108.0,Senegal,undrafted,undrafted,West,Northwest,Portland Trail Blazers
179,Jim Baechtold,G-C,1.93,92.25,USA,1952,2,East,Atlantic,New York Knicks
180,Dalibor Bagaric,G-C,2.16,130.5,Croatia,2000,24,East,Central,Chicago Bulls
181,John Bagley,G-C,1.83,83.25,USA,1982,12,East,Central,Cleveland Cavaliers
182,Marvin Bagley III,F,2.08,105.75,USA,2018,2,East,Southeast,Washington Wizards
183,Toby Bailey,G-C,1.98,95.85,USA,1998,45,West,Pacific,Phoenix Suns
184,Gus Bailey,G-C,1.96,83.25,USA,1974,23,West,Southwest,Houston Rockets
185,Thurl Bailey,G-C,2.11,111.15,USA,1983,7,West,Northwest,Utah Jazz
186,Carl Bailey,G-C,2.13,94.5,USA,1980,66,West,Northwest,Portland Trail Blazers
187,James Bailey,G-C,2.06,99.0,USA,1979,6,West,Northwest,Oklahoma City Thunder
188,Amari Bailey,G,1.9,83.25,USA,2023,41,East,Atlantic,Brooklyn Nets
189,Cameron Bairstow,G-C,2.06,112.5,Australia,2014,49,East,Central,Chicago Bulls
190,Mark Baker,G-C,1.85,78.75,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors
191,Maurice Baker,G-C,1.85,83.25,USA,undrafted,undrafted,West,Northwest,Portland Trail Blazers
192,Vin Baker,G-C,2.11,108.0,USA,1993,8,West,Northwest,Oklahoma City Thunder
193,Ron Baker,G,1.93,99.0,USA,undrafted,undrafted,East,Atlantic,New York Knicks
194,Wade Baldwin IV,G,1.93,90.9,USA,2016,17,West,Southwest,Memphis Grizzlies
195,Patrick Baldwin Jr.,F,2.06,99.0,USA,2022,28,East,Southeast,Washington Wizards
196,Renaldo Balkman,G-C,2.03,93.6,USA,2006,undrafted,East,Atlantic,New York Knicks
197,Lonzo Ball,G,1.98,85.5,USA,2017,2,East,Central,Chicago Bulls
198,LaMelo Ball,G,2.01,81.0,USA,2020,3,East,Southeast,Charlotte Hornets
199,Cedric Ball,G-C,2.03,94.5,USA,undrafted,undrafted,West,Pacific,LA Clippers
200,Greg Ballard,G-C,2.01,96.75,USA,1977,4,East,Southeast,Washington Wizards
201,Mo Bamba,C,2.13,103.95,USA,2018,6,West,Pacific,LA Clippers
202,Paolo Banchero,F,2.08,112.5,USA,2022,1,East,Southeast,Orlando Magic
203,Desmond Bane,G,1.96,96.75,USA,2020,undrafted,West,Southwest,Memphis Grizzlies
204,Marcus Banks,G-C,1.88,92.25,USA,2003,13,East,Atlantic,Boston Celtics
205,Gene Banks,G-C,2.01,96.75,USA,1981,28,West,Southwest,San Antonio Spurs
206,Ken Bannister,G-C,2.06,105.75,USA,1984,156,East,Atlantic,New York Knicks
207,Mike Bantom,G-C,2.06,90.0,USA,1973,8,East,Central,Indiana Pacers
208,Dalano Banton,G,2.03,91.35,Canada,2021,46,West,Northwest,Portland Trail Blazers
209,John Barber,G-C,1.98,94.5,USA,1956,undrafted,East,Southeast,Atlanta Hawks
210,Cat Barber,G,1.85,77.85000000000001,USA,2016,undrafted,East,Southeast,Atlanta Hawks
211,Leandro Barbosa,G-C,1.9,87.3,Brazil,2003,28,West,Pacific,Phoenix Suns
212,Stephen Bardo,G-C,1.96,85.5,USA,1990,41,West,Southwest,Dallas Mavericks
213,J.J. Barea,G,1.78,81.0,Puerto Rico,undrafted,undrafted,West,Southwest,Dallas Mavericks
214,Andrea Bargnani,G-C,2.13,110.25,Italy,2006,1,East,Atlantic,Toronto Raptors
215,Tom Barker,G-C,2.11,101.25,USA,1976,53,East,Southeast,Atlanta Hawks
216,Charles Barkley,G-C,1.98,113.4,USA,1984,5,East,Atlantic,Philadelphia 76ers
217,Erick Barkley,G-C,1.85,83.25,USA,2000,28,West,Northwest,Portland Trail Blazers
218,Don Barksdale,G-C,1.98,90.0,USA,undrafted,undrafted,East,Atlantic,Boston Celtics
219,Dominick Barlow,F,2.03,96.75,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
220,Matt Barnes,G-C,2.01,101.7,USA,2002,45,West,Pacific,LA Clippers
221,Harry Barnes,G-C,1.9,92.25,USA,1968,37,West,Southwest,Houston Rockets
222,Marvin Barnes,G-C,2.06,94.5,USA,1974,2,West,Pacific,LA Clippers
223,Harrison Barnes,F,2.03,101.25,USA,2012,7,West,Southwest,San Antonio Spurs
224,Scottie Barnes,G-F,2.01,106.65,USA,2021,4,East,Atlantic,Toronto Raptors
225,Jim Barnes,G-C,2.03,94.5,USA,1964,1,East,Atlantic,Boston Celtics
226,Dick Barnett,G-C,1.93,85.5,USA,1959,4,East,Atlantic,New York Knicks
227,Jim Barnett,G-C,1.93,76.5,USA,1966,8,West,Pacific,Golden State Warriors
228,John Barnhill,G-C,1.85,81.0,USA,1959,77,East,Southeast,Atlanta Hawks
229,Norton Barnhill,G-C,1.93,92.25,USA,1976,134,West,Northwest,Oklahoma City Thunder
230,Mike Barr,G-C,1.9,81.0,USA,1972,1,West,Pacific,Sacramento Kings
231,Thomas Barr,G-C,1.93,87.75,USA,undrafted,undrafted,West,Pacific,Sacramento Kings
232,Ernie Barrett,G-C,1.73,81.0,USA,1951,7,East,Atlantic,Boston Celtics
233,Andre Barrett,G-C,1.78,77.85000000000001,USA,undrafted,undrafted,West,Southwest,Houston Rockets
234,RJ Barrett,G-F,1.98,96.3,Canada,2019,3,East,Atlantic,Toronto Raptors
235,Earl Barron,G-C,2.13,112.5,USA,undrafted,undrafted,East,Southeast,Miami Heat
236,Dana Barros,G-C,1.8,74.25,USA,1989,16,East,Atlantic,Boston Celtics
237,Brent Barry,G-C,2.01,94.5,USA,1995,15,West,Northwest,Oklahoma City Thunder
238,Rick Barry,G-C,2.01,92.25,USA,1965,2,West,Pacific,Golden State Warriors
239,Jon Barry,G-C,1.96,94.5,USA,1992,21,East,Central,Milwaukee Bucks
240,Drew Barry,G-C,1.96,85.95,USA,1996,57,East,Southeast,Atlanta Hawks
241,"Joe Barry,Carroll",G-C,2.13,101.25,USA,1980,1,West,Pacific,Golden State Warriors
242,Vic Bartolome,G-C,2.13,103.5,USA,1970,87,West,Pacific,Golden State Warriors
243,Will Barton,G,1.96,81.45,USA,2012,undrafted,East,Atlantic,Toronto Raptors
244,Eddie Basden,G-C,1.96,96.75,USA,undrafted,undrafted,East,Central,Chicago Bulls
245,Jerry Baskerville,G-C,2.01,85.5,USA,undrafted,undrafted,East,Atlantic,Philadelphia 76ers
246,Brandon Bass,G-C,2.03,112.5,USA,2005,33,East,Atlantic,Boston Celtics
247,Paris Bass,F,2.03,90.0,USA,undrafted,undrafted,West,Pacific,Phoenix Suns
248,Tim Bassett,G-C,2.03,101.25,USA,1973,6,East,Atlantic,Brooklyn Nets
249,Charles Bassey,G,2.08,103.5,Nigeria,2021,53,West,Southwest,San Antonio Spurs
250,Maceo Baston,G-C,2.08,103.5,USA,1998,58,East,Central,Indiana Pacers
251,Mengke Bateer,G-C,2.11,130.5,China,undrafted,undrafted,West,Northwest,Denver Nuggets
252,Emoni Bates,F,2.03,76.5,USA,2023,49,East,Central,Cleveland Cavaliers
253,Billyray Bates,G-C,1.93,94.5,USA,1978,47,West,Northwest,Portland Trail Blazers
254,Keita Bates-Diop,F,2.03,103.05,USA,2018,48,West,Northwest,Minnesota Timberwolves
255,Esteban Batista,G-C,2.08,120.6,Uruguay,undrafted,undrafted,East,Southeast,Atlanta Hawks
256,Mike Batiste,G-C,2.03,101.25,USA,undrafted,undrafted,West,Southwest,Memphis Grizzlies
257,Tony Battie,F,2.11,108.0,USA,1997,5,East,Atlantic,Boston Celtics
258,Shane Battier,F,2.03,99.0,USA,2001,6,West,Southwest,Memphis Grizzlies
259,John Battle,G-C,1.88,78.75,USA,1985,84,East,Southeast,Atlanta Hawks
260,Kenny Battle,G-C,1.98,94.5,USA,1989,27,West,Pacific,Phoenix Suns
261,Jamison Battle,F,2.01,99.0,USA,undrafted,undrafted,East,Atlantic,Toronto Raptors
262,Dave Batton,G-C,2.08,108.0,USA,1978,62,East,Southeast,Washington Wizards
263,Nicolas Batum,G-F,2.03,103.5,France,2008,25,West,Pacific,LA Clippers
264,Johnny Baum,G-C,1.96,90.0,USA,1969,23,East,Central,Chicago Bulls
265,Lonny Baxter,G-C,2.03,117.0,USA,2002,43,East,Central,Chicago Bulls
266,Jerryd Bayless,G,1.9,90.0,USA,2008,11,East,Central,Milwaukee Bucks
267,Elgin Baylor,G-C,1.96,101.25,USA,1958,1,West,Pacific,Los Angeles Lakers
268,Aron Baynes,F-C,2.08,117.0,Australia,undrafted,undrafted,East,Central,Detroit Pistons
269,Sergei Bazarevich,G-C,1.88,75.60000000000001,Russia,undrafted,undrafted,East,Southeast,Atlanta Hawks
270,Kent Bazemore,G,1.93,87.75,USA,undrafted,undrafted,West,Pacific,Sacramento Kings
271,Darius Bazley,F,2.06,97.2,USA,2019,23,West,Northwest,Utah Jazz
272,Ed Beach,G-C,1.9,90.0,USA,1950,undrafted,East,Southeast,Atlanta Hawks
273,Bradley Beal,G,1.93,93.15,USA,2012,3,West,Pacific,Phoenix Suns
274,Butch Beard,G-C,1.9,83.25,USA,1969,undrafted,East,Atlantic,New York Knicks
275,Michael Beasley,F,2.06,105.75,USA,2008,2,East,Southeast,Miami Heat
276,Malik Beasley,G,1.93,84.15,USA,2016,19,East,Central,Detroit Pistons
277,Jerome Beasley,G-C,2.06,106.65,USA,2003,33,East,Southeast,Miami Heat
278,Zelmo Beaty,G-C,2.06,101.25,USA,1962,3,East,Southeast,Atlanta Hawks
279,Rodrigue Beaubois,G-C,1.88,83.25,France,2009,25,West,Southwest,Dallas Mavericks
280,MarJon Beauchamp,F,2.01,89.55,USA,2022,24,East,Central,Milwaukee Bucks
281,Ernie Beck,G-C,1.93,85.5,USA,1953,undrafted,West,Pacific,Golden State Warriors
282,Byron Beck,G-C,2.06,101.25,USA,1967,15,West,Northwest,Denver Nuggets
283,Corey Beck,G-C,1.9,90.0,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
284,William Bedford,G-C,2.13,101.25,USA,1986,6,East,Central,Detroit Pistons
285,Charles Bediako,C,2.13,101.25,Canada,undrafted,undrafted,West,Northwest,Denver Nuggets
286,Reece Beekman,G,1.9,85.5,USA,undrafted,undrafted,West,Pacific,Golden State Warriors
287,Ron Behagen,G-C,2.06,83.25,USA,1973,7,West,Pacific,Sacramento Kings
288,Elmer Behnke,G-C,2.01,94.5,USA,1951,37,East,Southeast,Atlanta Hawks
